"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Cam Ward",FA,"QB1","1","4","2.2","1.1"
"2","Ashton Jeanty",FA,"RB1","1","11","2.8","3.7"
"3","Tetairoa McMillan",FA,"WR1","2","5","3.2","1.1"
"4","Shedeur Sanders",FA,"QB2","2","4","3.2","0.7"
"5","Luther Burden III",FA,"WR2","5","9","6.7","1.7"
"6","Emeka Egbuka",FA,"WR3","5","11","7.5","1.8"
"7","Omarion Hampton",FA,"RB2","5","20","9.3","5.0"
"8","Kaleb Johnson",FA,"RB3","7","15","10.5","2.6"
"9","Jalen Milroe",FA,"QB3","4","19","10.7","5.7"
"10","Tyler Warren",FA,"TE1","7","15","10.7","3.1"
"11","Travis Hunter",FA,"WR4","5","17","11.3","4.4"
"12","TreVeyon Henderson",FA,"RB4","9","21","12.0","4.2"
"13","Quinshon Judkins",FA,"RB5","10","17","13.8","2.5"
"14","Colston Loveland",FA,"TE2","8","22","15.5","4.9"
"15","Jaxson Dart",FA,"QB4","6","29","15.7","8.8"
"16","Tre Harris",FA,"WR5","9","25","17.7","4.9"
"17","Matthew Golden",FA,"WR6","13","26","18.0","4.3"
"18","Elic Ayomanor",FA,"WR7","12","24","19.0","4.5"
"19","Isaiah Bond",FA,"WR8","10","38","21.5","8.6"
"20","Harold Fannin Jr.",FA,"TE3","14","43","22.0","9.8"
"21","Cam Skattebo",FA,"RB6","21","26","23.2","1.7"
"22","Jalen Royals",FA,"WR9","15","38","23.5","8.3"
"23","Devin Neal",FA,"RB7","14","35","24.2","7.8"
"24","Dylan Sampson",FA,"RB8","17","32","24.7","5.2"
"25","Xavier Restrepo",FA,"WR10","18","33","26.5","4.5"
"26","Ollie Gordon II",FA,"RB9","22","39","29.0","5.6"
"27","Jayden Higgins",FA,"WR11","17","40","29.5","6.9"
"28","Quinn Ewers",FA,"QB5","12","35","21.4","10.7"
"29","Tez Johnson",FA,"WR12","23","49","31.0","8.7"
"30","RJ Harvey",FA,"RB10","25","42","33.8","6.3"
"31","Jaylin Noel",FA,"WR13","27","41","34.0","4.8"
"32","Damien Martinez",FA,"RB11","22","43","35.2","8.1"
"33","DJ Giddens",FA,"RB12","21","53","35.7","11.5"
"34","Mason Taylor",FA,"TE4","28","48","35.8","6.3"
"35","Gunnar Helm",FA,"TE5","24","58","38.8","11.6"
"36","Jordan James",FA,"RB13","31","53","40.3","7.7"
"37","Woody Marks",FA,"RB14","33","51","41.2","6.0"
"38","Jack Bech",FA,"WR14","24","56","41.7","9.5"
"39","Tory Horton",FA,"WR15","37","50","44.2","5.1"
"40","Tai Felton",FA,"WR16","33","57","45.0","8.3"
"41","Savion Williams",FA,"WR17","25","65","46.2","12.5"
"42","Bhayshul Tuten",FA,"RB15","35","54","46.2","6.0"
"43","Will Howard",FA,"QB6","18","54","34.3","13.0"
"44","Trevor Etienne",FA,"RB16","29","72","48.7","13.5"
"45","Oronde Gadsden II",FA,"TE6","32","57","44.2","8.2"
"46","Tahj Brooks",FA,"RB17","39","49","44.2","3.2"
"47","Kyle McCord",FA,"QB7","18","31","25.7","5.6"
"48","Ricky White III",FA,"WR18","35","62","52.3","10.1"
"49","Kyren Lacy",FA,"WR19","34","54","44.0","7.1"
"50","Jacorey Brooks",FA,"WR20","34","52","44.8","6.7"
"51","Dillon Gabriel",FA,"QB8","29","39","35.7","4.7"
"52","Kyle Monangai",FA,"RB18","34","67","52.4","11.3"
"53","Riley Leonard",FA,"QB9","28","48","37.0","8.3"
"54","Brashard Smith",FA,"RB19","34","59","47.0","9.4"
"55","Pat Bryant",FA,"WR21","48","58","53.2","3.8"
"56","Elijah Arroyo",FA,"TE7","37","70","54.0","11.7"
"57","Raheim Sanders",FA,"RB20","41","72","54.3","11.5"
"58","Jake Briningstool",FA,"TE8","40","65","56.0","10.0"
"59","Evan Stewart",FA,"WR22","26","47","36.5","10.5"
"60","Kurtis Rourke",FA,"QB10","49","60","56.8","4.5"
"61","Nicholas Singleton",FA,"RB21","36","63","50.7","11.2"
"62","LeQuint Allen",FA,"RB22","28","78","51.7","20.5"
"63","Bru McCoy",FA,"WR23","41","58","51.3","7.4"
"64","Kalel Mullings",FA,"RB23","44","75","57.8","11.7"
"65","Nick Nash",FA,"WR24","30","70","58.0","16.3"
"66","Beaux Collins",FA,"WR25","37","63","53.3","11.6"
"67","Jaydon Blue",FA,"RB24","42","79","57.7","15.6"
"68","Garrett Nussmeier",FA,"QB11","50","61","57.3","5.2"
"69","Miller Moss",FA,"QB12","50","50","50.0","0.0"
"70","Kaden Prather",FA,"WR26","47","69","58.7","9.0"
"71","Donovan Edwards",FA,"RB25","55","71","63.0","6.7"
"72","Zakhari Franklin",FA,"WR27","55","64","59.3","3.7"
"73","Jarquez Hunter",FA,"RB26","28","77","52.5","24.5"
"74","Terrance Ferguson",FA,"TE9","58","74","66.8","6.5"
"75","Antwane Wells Jr.",FA,"WR28","53","71","63.3","7.6"
"76","LeQuint Allen Jr.",FA,"RB27","43","43","43.0","0.0"
"77","Luke Lachey",FA,"TE10","62","85","71.0","8.5"
"78","Mario Williams",FA,"WR29","57","67","62.0","5.0"
"79","Carson Beck",FA,"QB13","62","62","62.0","0.0"
"80","Kobe Hudson",FA,"WR30","57","73","65.0","8.0"
"81","Theo Wease Jr.",FA,"WR31","56","83","69.5","13.5"
"82","Moose Muhammad III",FA,"WR32","63","80","71.5","8.5"
"83","Isaiah Neyor",FA,"WR33","64","76","70.0","6.0"
"84","Deion Burks",FA,"WR34","65","88","76.5","11.5"
"85","Da'Quan Felton",FA,"WR35","68","81","74.5","6.5"
"86","Roman Hemby",FA,"RB28","73","84","78.5","5.5"
"87","Bryson Nesbit",FA,"TE11","75","87","81.0","6.0"
"88","Jimmy Horn Jr.",FA,"WR36","82","82","82.0","0.0"
"89","Benjamin Yurosek",FA,"TE12","86","86","86.0","0.0"
"90","Jalin Conyers",FA,"TE13","89","89","89.0","0.0"
"91","Corey Kiner",FA,"RB29","90","90","90.0","0.0"
